Agent,Author,Repo,CommitSha,smell_type,smell_name,Method,Line,File,Description
Human,Skyvern-AI,skyvern,0a0228b341c512ce2edbe83d95e14f6c387965dc,implementation,Long statement,handle_input_text_action,935,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/Skyvern-AI$skyvern/Human/Skyvern-AI$skyvern/0a0228b341c512ce2edbe83d95e14f6c387965dc/skyvern/webeye/actions/handler.py,A line with 218 chars in handle_input_text_action exceeds the maximum length of 120 characters.
Human,Skyvern-AI,skyvern,0a0228b341c512ce2edbe83d95e14f6c387965dc,implementation,Long statement,handle_input_text_action,955,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/Skyvern-AI$skyvern/Human/Skyvern-AI$skyvern/0a0228b341c512ce2edbe83d95e14f6c387965dc/skyvern/webeye/actions/handler.py,A line with 128 chars in handle_input_text_action exceeds the maximum length of 120 characters.
OpenAI_Codex,n3d1117,chatgpt-telegram-bot,5f11871da3ccf5c0aade337baf19b7e139b25543,implementation,Long statement,send_disallowed_message,1017,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/n3d1117$chatgpt-telegram-bot/5f11871da3ccf5c0aade337baf19b7e139b25543/bot/telegram_bot.py,A line with 145 chars in send_disallowed_message exceeds the maximum length of 120 characters.
Human,exo-lang,exo,9ee8d9ae5425cec6aa03f9b451ad9ac9ab458fc2,design,Insufficient modularization,,1,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/exo-lang$exo/Human/exo-lang$exo/9ee8d9ae5425cec6aa03f9b451ad9ac9ab458fc2/tests/test_typecheck.py,"Module 'test_typecheck' is insufficiently modularized with NOPM: 54, WMC: 83, NOM: 54."
Human,keephq,keep,fdcdc0722565e168466d4a16dde1e7f4bd396865,implementation,Long statement,get_dashboards,3056,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/keephq$keep/Human/keephq$keep/fdcdc0722565e168466d4a16dde1e7f4bd396865/keep/api/core/db.py,A line with 148 chars in get_dashboards exceeds the maximum length of 120 characters.
Human,huggingface,huggingface_hub,bebc1f7a3a79f70b8bbd1e70b33643be990a8a22,implementation,Long statement,update,261,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/huggingface$huggingface_hub/Human/huggingface$huggingface_hub/bebc1f7a3a79f70b8bbd1e70b33643be990a8a22/src/huggingface_hub/_inference_endpoints.py,A line with 2369 chars in update exceeds the maximum length of 120 characters.
Human,huggingface,huggingface_hub,bebc1f7a3a79f70b8bbd1e70b33643be990a8a22,implementation,Long statement,update,300,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/huggingface$huggingface_hub/Human/huggingface$huggingface_hub/bebc1f7a3a79f70b8bbd1e70b33643be990a8a22/src/huggingface_hub/_inference_endpoints.py,A line with 398 chars in update exceeds the maximum length of 120 characters.
Human,pydata,pandas-datareader,60432f9c6603c6b1f6db42b5fd31ae6097a4f4bc,implementation,Magic number,_read_lines,202,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pydata$pandas-datareader/Human/pydata$pandas-datareader/60432f9c6603c6b1f6db42b5fd31ae6097a4f4bc/pandas_datareader/base.py,Magic number 2 used in _read_lines.
Human,pydata,pandas-datareader,60432f9c6603c6b1f6db42b5fd31ae6097a4f4bc,implementation,Magic number,_read_lines,202,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pydata$pandas-datareader/Human/pydata$pandas-datareader/60432f9c6603c6b1f6db42b5fd31ae6097a4f4bc/pandas_datareader/base.py,Magic number 2 used in _read_lines.
Human,pytorch,pytorch,d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7,implementation,Long statement,meta_embedding_bag_dense_backward,6934,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pytorch$pytorch/Human/pytorch$pytorch/d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7/torch/_meta_registrations.py,A line with 155 chars in meta_embedding_bag_dense_backward exceeds the maximum length of 120 characters.
Human,wandb,weave,7d9b063be6ae73fcbae83cd6ff93be6a425b6423,implementation,Long statement,defer,83,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/wandb$weave/Human/wandb$weave/7d9b063be6ae73fcbae83cd6ff93be6a425b6423/weave/trace/concurrent/futures.py,A line with 504 chars in defer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,402,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 219 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,411,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 202 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,420,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 154 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,463,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 124 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,486,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 386 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,551,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 151 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,557,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 151 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,whitphx,streamlit-webrtc,fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f,implementation,Long statement,webrtc_streamer,569,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/whitphx$streamlit-webrtc/Human/whitphx$streamlit-webrtc/fb65a3d3801d3bae256f5c6cbf406cb8e5384e3f/streamlit_webrtc/component.py,A line with 775 chars in webrtc_streamer exceeds the maximum length of 120 characters.
Human,skypilot-org,skypilot,4e91be1eb3840458dd2441c49fcab53b06c0fce7,implementation,Long statement,health,1164,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/4e91be1eb3840458dd2441c49fcab53b06c0fce7/sky/server/server.py,A line with 520 chars in health exceeds the maximum length of 120 characters.
Human,skypilot-org,skypilot,4e91be1eb3840458dd2441c49fcab53b06c0fce7,implementation,Long statement,health,1176,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/4e91be1eb3840458dd2441c49fcab53b06c0fce7/sky/server/server.py,A line with 270 chars in health exceeds the maximum length of 120 characters.
Human,skypilot-org,skypilot,c2c7c0da122f520b3b16cf7637bba902711d6adc,implementation,Long statement,health,1178,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/c2c7c0da122f520b3b16cf7637bba902711d6adc/sky/server/server.py,A line with 520 chars in health exceeds the maximum length of 120 characters.
Human,skypilot-org,skypilot,c2c7c0da122f520b3b16cf7637bba902711d6adc,implementation,Long statement,health,1190,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/c2c7c0da122f520b3b16cf7637bba902711d6adc/sky/server/server.py,A line with 270 chars in health exceeds the maximum length of 120 characters.
OpenAI_Codex,FoundationAgents,AFlow,6488d1a6737c7c1be18266967e09b24cc5df9340,implementation,Magic number,grade_stdio,382,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/FoundationAgents$AFlow/6488d1a6737c7c1be18266967e09b24cc5df9340/scripts/utils/lcb_test.py,Magic number 2 used in grade_stdio.
OpenAI_Codex,FoundationAgents,AFlow,6488d1a6737c7c1be18266967e09b24cc5df9340,implementation,Magic number,grade_stdio,352,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/FoundationAgents$AFlow/6488d1a6737c7c1be18266967e09b24cc5df9340/scripts/utils/lcb_test.py,Magic number 3 used in grade_stdio.
OpenAI_Codex,FoundationAgents,AFlow,6488d1a6737c7c1be18266967e09b24cc5df9340,implementation,Magic number,grade_stdio,361,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/FoundationAgents$AFlow/6488d1a6737c7c1be18266967e09b24cc5df9340/scripts/utils/lcb_test.py,Magic number 4 used in grade_stdio.
Human,skypilot-org,skypilot,4e91be1eb3840458dd2441c49fcab53b06c0fce7,implementation,Complex method,_make_task_or_dag_from_entrypoint_with_overrides,843 - 942,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/4e91be1eb3840458dd2441c49fcab53b06c0fce7/sky/cli.py,"Method '_make_task_or_dag_from_entrypoint_with_overrides' has a cyclomatic complexity of 10, exceeding the max of 6."
Human,skypilot-org,skypilot,43d0b9e33922a83ea73ed6888cbcae1763bc94cf,implementation,Complex method,_make_task_or_dag_from_entrypoint_with_overrides,843 - 942,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/43d0b9e33922a83ea73ed6888cbcae1763bc94cf/sky/cli.py,"Method '_make_task_or_dag_from_entrypoint_with_overrides' has a cyclomatic complexity of 10, exceeding the max of 6."
Human,huggingface,smolagents,5c33130fa43e74cdff82b4a2650034f012917dde,implementation,Long statement,make_stopping_criteria,332,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/huggingface$smolagents/Human/huggingface$smolagents/5c33130fa43e74cdff82b4a2650034f012917dde/src/smolagents/models.py,A line with 558 chars in make_stopping_criteria exceeds the maximum length of 120 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,37,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'TabStop_Shell_InDefValue_Overwrite' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,44,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'TabStop_Shell_TestEscapedChars_Overwrite' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,51,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'TabStop_Shell_TestEscapedCharsAndShellVars_Overwrite' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,71,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'TabStop_VimScriptInterpolation_SimpleExample' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,83,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCodeOld_ReferencePlaceholderAfter' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,89,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCodeOld_ReferencePlaceholderBefore' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,95,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCodeOld_TransformedBeforeMultiLine' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,105,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCodeOld_IndentedMultiline' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,135,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_SimpleExample_ReturnValueIsEmptyString' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,141,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_ReferencePlaceholder' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,147,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_ReferencePlaceholderBefore' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,153,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_TransformedBeforeMultiLine' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,198,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_MultiAppendSimpleIndent' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,271,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_MultiAppendShiftMethods' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,461,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_LongerTextThanSource_Chars' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,467,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_LongerTextThanSource_MultiLine' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,473,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_AccessKilledTabstop_OverwriteSecond' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,482,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonCode_AccessKilledTabstop_OverwriteFirst' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,504,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonVisual_NoVisualSelection_Ignore' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,522,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonVisual_HasAccessToSelectedPlaceholders' exceeds the maximum length of 30 characters.
Human,SirVer,ultisnips,79b063ac44eb5a9c28129bc3837fef789a3190fa,implementation,Long identifier,,533,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/SirVer$ultisnips/Human/SirVer$ultisnips/79b063ac44eb5a9c28129bc3837fef789a3190fa/test/test_Interpolation.py,Identifier'PythonVisual_HasAccessToZeroPlaceholders' exceeds the maximum length of 30 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7209,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 434 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7234,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 703 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7268,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 408 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7293,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 623 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7320,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 893 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7348,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 350 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7370,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 344 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7392,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 560 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7422,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 586 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7453,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 580 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7484,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 193 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7501,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 218 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Long statement,test_model_kind_to_expression,7520,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,A line with 237 chars in test_model_kind_to_expression exceeds the maximum length of 120 characters.
Human,unclecode,crawl4ai,da8f0dbb931e7701bde807186bd9e9ae32cde114,implementation,Complex method,list_profiles,269 - 330,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/unclecode$crawl4ai/Human/unclecode$crawl4ai/da8f0dbb931e7701bde807186bd9e9ae32cde114/crawl4ai/browser_profiler.py,"Method 'list_profiles' has a cyclomatic complexity of 7, exceeding the max of 6."
Human,unclecode,crawl4ai,260e2dc347e2d0b4463eec31f3eaa81e87ca109b,implementation,Complex method,list_profiles,269 - 330,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/unclecode$crawl4ai/Human/unclecode$crawl4ai/260e2dc347e2d0b4463eec31f3eaa81e87ca109b/crawl4ai/browser_profiler.py,"Method 'list_profiles' has a cyclomatic complexity of 7, exceeding the max of 6."
Human,skypilot-org,skypilot,4e91be1eb3840458dd2441c49fcab53b06c0fce7,implementation,Long statement,_maybe_restart_controller,337,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/4e91be1eb3840458dd2441c49fcab53b06c0fce7/sky/jobs/server/core.py,A line with 140 chars in _maybe_restart_controller exceeds the maximum length of 120 characters.
